aŭtofagi,R
aŭtogir,R
aŭtograf,R
aŭtografi,R
aŭtokrati,R
aŭtomaci,R
aŭtomat,R
aŭtomatik,R
aŭtomobil,R
aŭtomorfi,R
aŭtonom,R
aŭtor,R
aŭtoritat,R
aŭtun,R
av,R
avalokiteŝvar,R
avanc,R
avantaĝ,R
avar,R
avare,R
avejr,R
avel,R
aven,R
aventur,R
avenu,R
averi,R
avers,R
avert,R
avi,R
aviadil,R
avicen,R
avid,R
avikulari,R
aviz,R
avogadr,R
azale,R
azar,R
azen,R
azer,R
azerbajĝan,R
azi,R
azil,R
azot,R
azov,R
aztek,R
azuleĥ,R
azurit,R
babil,R
bacil,R
bagatel,R
bajonet,R
bak,R
bakteri,R
bal,R
bala,R
balanc,R
balbut,R
baldaken,R
baldaŭ,X
balen,R
balon,R
balot,R
balustrad,R
bambu,R
ban,R
banan,R
band,R
bandaĝ,R
bank,R
bant,R
bapt,R
bar,R
baraĵ,R
barakt,R
barb,R
barbir,R
barĉ,R
barel,R
bark,R
bask,R
bast,R
bastion,R
baston,R
bat,R
batal,R
baz,R
bazar,R
beb,R
bed,R
bedaŭr,R
bek,R
bel,R
beladon,R
ben,R
bend,R
benk,R
benzin,R
ber,R
best,R
bet,R
betul,R
bezon,R
bibliotek,R
bicikl,R
bien,R
bier,R
bifstek,R
bild,R
bilet,R
bind,R
biolog,R
bird,R
biskvit,R
bismut,R
blank,R
blasfem,R
blat,R
blek,R
blind,R
blok,R
blond,R
blov,R
blu,R
bluz,R
bo,P
boa,R
boat,R
boben,R
boj,R
boks,R
bol,R
bombon,R
bon,R
bonvol,R
bor,R
boraks,R
bord,R
border,R
bors,R
bot,R
botel,R
bov,R
bovl,R
bracelet,R
brak,R
brakum,R
bram,R
bran,R
branĉ,R
brand,R
brank,R
brasik,R
brav,R
bred,R
brems,R
bret,R
brid,R
brik,R
bril,R
briliant,R
brod,R
brog,R
brokant,R
bronz,R
bros,R
broŝur,R
brov,R
bru,R
brul,R
brun,R
brust,R
brut,R
bub,R
bubal,R
buĉ,R
bud,R
budĝet,R
buf,R
bufed,R
buĝet,R
buk,R
buked,R
bukl,R
bul,R
bulb,R
buljon,R
bulk,R
bulten,R
bulvard,R
burd,R
burĝ,R
burĝon,R
buŝ,R
buŝel,R
buter,R
butik,R
buton,R
carpenter,R
ced,R
cedr,R
cejan,R
cel,R
cement,R
cent,N
centimetr,R
centr,R
central,R
cep,R
cerb,R
cert,R
cerv,R
ceter,R
ci,Q
cifer,R
cigar,R
cigared,R
cign,R
cikad,R
cikatr,R
cikl,R
ciklon,R
cikoni,R
cikori,R
cim,R
cimbal,R
cinabr,R
cinam,R
cindr,R
cipres,R
cir,R
cirkel,R
cirkl,R
cirkonstanc,R
cirkul,R
cirkuler,R
cirkvit,R
cit,R
citr,R
citron,R
civil,R
civiliz,R
civit,R
col,R
ĉagren,R
ĉam,R
ĉambelan,R
ĉambr,R
ĉampan,R
ĉan,R
ĉap,R
ĉapel,R
ĉapitr,R
ĉar,X
ĉarlatan,R
ĉarm,R
ĉarnir,R
ĉarpent,R
ĉarpi,R
ĉarum,R
ĉas,R
ĉast,R
ĉe,Z
ĉeest,R
ĉef,X
ĉek,R
ĉel,R
ĉemiz,R
ĉen,R
ĉeriz,R
ĉerk,R
ĉerp,R
ĉes,R
ĉeval,R
ĉi,X
ĉia,V
ĉial,X
ĉiam,X
ĉie,U
ĉiel,X
ĉies,X
ĉif,R
ĉifon,R
ĉikan,R
ĉio,U
ĉiom,X
ĉirkaŭ,Z
ĉiu,V
ĉiz,R
ĉj,S
ĉokolad,R
ĉu,X
d,R
da,Z
daktil,R
dam,R
damask,R
danc,R
dand,R
danĝer,R
dank,X
dat,R
dativ,R
datur,R
daŭr,R
daŭrig,R
de,Z
debet,R
dec,R
Decembr,R
decembr,R
decid,R
deĉifr,R
dediĉ,R
defend,R
deficit,R
degel,R
degener,R
degrad,R
deĵor,R
dek,N
deklar,R
deklinaci,R
dekliv,R
dekoraci,R
dekstr,R
deleg,R
delfen,R
delikat,R
delir,R
demand,R
demon,R
denar,R
dens,R
dent,R
denunc,R
depend,R
depon,R
deput,R
des,X
desegn,R
desert,R
destin,R
detal,R
deten,R
determin,R
detru,R
dev,R
deviz,R
devontig,R
dezert,R
dezir,R
di,R
Di,R
diabl,R
diagram,R
dialog,R
diamant,R
diant,R
diboĉ,R
didelf,R
diet,R
difekt,R
diferenc,R
difin,R
dig,R
digest,R
dik,R
dikt,R
diligent,R
diluv,R
dimanĉ,R
dimensi,R
dinamik,R
dir,R
direkt,R
direktor,R
dis,P
disk,R
diskont,R
diskut,R
dispon,R
disput,R
distanc,R
distil,R
disting,R
distr,R
distribu,R
distrikt,R
diven,R
divers,R
divid,R
do,X
dog,R
dogan,R
doktor,R
dokument,R
dolĉ,R
dolor,R
dom,R
domaĝ,R
domen,R
don,R
donac,R
dorlot,R
dorm,R
dorn,R
dors,R
dot,R
draĥm,R
drak,R
dram,R
drap,R
drapir,R
draŝ,R
drat,R
dres,R
drink,R
drog,R
drom,R
dron,R
du,N
dub,R
duk,R
dukt,R
dum,Z
dung,R
duŝ,R
e,T
eben,R
ebl,S
ebon,R
ebri,R
ec,S
eĉ,X
ed,R
edif,R
eduk,R
edz,R
efekt,R
efektiv,R
efik,R
eg,S
egal,R
egoist,R
eĥ,R
ej,S
ek,P
ekip,R
eklezi,R
ekonomi,R
ekran,R
eks,P
ekscelenc,R
ekscit,R
ekskurs,R
eksped,R
eksperiment,R
eksplod,R
ekspluat,R
eksport,R
ekspozici,R
ekster,Z
eksterm,R
ekstr,R
ekstrem,R
ekvator,R
ekvilibr,R
ekzakt,R
ekzamen,R
ekzekut,R
ekzempl,R
ekzempler,R
ekzerc,R
ekzil,R
ekzist,R
el,Z
elast,R
eldon,R
elefant,R
elegant,R
elekt,R
elektr,R
elektronik,R
element,R
elokvent,R
elturniĝ,R
em,S
emajl,R
embaras,R
embri,R
embusk,R
emerit,R
Emi,R
Emili,R
eminent,R
emoci,R
en,Z
end,S
energi,R
enigm,R
enket,R
entrepren,R
entuziasm,R
enu,R
envi,R
epidemi,R
episkop,R
epok,R
epolet,R
er,S
erar,R
erinac,R
ermen,R
ermit,R
erp,R
escept,R
esenc,R
eskadr,R
eskap,R
esper,R
esplor,R
esprim,R
est,R
establ,R
estig,R
estim,R
esting,R
estr,S
eŝafod,R
et,S
etaĝ,R
etap,R
etat,R
etend,R
eter,R
etern,R
eur,R
eŭrop,R
event,R
evident,R
evit,R
evolu,R
ezok,R
fab,R
fabel,R
fabl,R
fabrik,R
fac,R
facet,R
facil,R
faden,R
fag,R
fajenc,R
fajf,R
fajl,R
fajr,R
fak,R
fakt,R
faktur,R
fal,R
falbal,R
falĉ,R
fald,R
falk,R
fals,R
fam,R
famili,R
familiar,R
fand,R
fanfaron,R
fantazi,R
fantom,R
far,R
farb,R
faring,R
farm,R
fart,R
farun,R
fasad,R
fask,R
fason,R
fast,R
faŝist,R
faŭk,R
fav,R
favor,R
fazan,R
fazeol,R
fe,R
febr,R
februar,R
Februar,R
feĉ,R
federaci,R
fel,R
feliĉ,R
felt,R
femur,R
fend,R
fenestr,R
fenkol,R
fenomen,R
fer,R
ferdek,R
feri,R
ferm,R
ferment,R
fervor,R
fest,R
festen,R
fi,P
fianĉ,R
fibr,R
fid,R
fidel,R
fier,R
fig,R
figur,R
fikci,R
fiks,R
fil,R
filik,R
film,R
filtr,R
fin,R
final,R
financ,R
fingr,R
firm,R
fistul,R
fiŝ,R
fizik,R
flag,R
flagr,R
flam,R
flan,R
flanel,R
flank,R
flar,R
flat,R
flav,R
fleg,R
flegm,R
fleks,R
flik,R
flirt,R
flok,R
flor,R
flos,R
flot,R
flu,R
flug,R
fluid,R
flustr,R
flut,R
fobi,R
foir,R
foj,R
fojn,R
fok,R
fokus,R
foli,R
fond,R
fonograf,R
font,R
fontan,R
for,X
forest,R
forges,R
forĝ,R
fork,R
form,R
formik,R
formul,R
forn,R
fort,R
fortepian,R
fortik,R
fos,R
fosfor,R
fost,R
fotel,R
fotograf,R
frag,R
fragment,R
fraj,R
frak,R
frakas,R
frakci,R
fraksen,R
framason,R
framb,R
franc,R
frand,R
frangol,R
franĝ,R
frank,R
frap,R
frat,R
fraŭl,R
fraz,R
frekvenc,R
fremd,R
frenez,R
freŝ,R
fring,R
fringel,R
fripon,R
frit,R
friz,R
fromaĝ,R
front,R
frost,R
frot,R
fru,R
frugileg,R
frukt,R
frunt,R
ftiz,R
fuĝ,R
fulg,R
fulm,R
fum,R
fund,R
fundament,R
funebr,R
funel,R
fung,R
funkci,R
funt,R
furaĝ,R
furioz,R
furunk,R
fusten,R
fuŝ,R
fut,R
gad,R
gaj,R
gajl,R
gajn,R
gal,R
galanteri,R
galeri,R
galon,R
galoŝ,R
gam,R
gamaŝ,R
gant,R
garaĝ,R
garanti,R
garb,R
gard,R
gargar,R
garn,R
gas,R
gast,R
gazel,R
gazet,R
ge,P
gelaten,R
gen,R
generaci,R
general,R
geni,R
genitiv,R
genot,R
gent,R
genu,R
geografi,R
geometri,R
german,R
gest,R
gips,R
girland,R
gitar,R
glaci,R
glad,R
glan,R
gland,R
glas,R
glat,R
glav,R
glim,R
glit,R
glob,R
glor,R
glu,R
glut,R
gobi,R
golf,R
gorĝ,R
gołąb,R
graci,R
grad,R
graf,R
grajn,R
gram,R
gramatik,R
granat,R
grand,R
grandioz,R
granit,R
gras,R
grat,R
gratul,R
grav,R
graved,R
gravur,R
greg,R
grek,R
gren,R
grenad,R
gri,R
grifel,R
gril,R
grimac,R
grimp,R
grinc,R
grip,R
griz,R
gros,R
groŝ,R
grot,R
gru,R
grumbl,R
grund,R
grup,R
gudr,R
guf,R
gum,R
gurd,R
gust,R
gustum,R
gut,R
guvern,R
gvardi,R
gvid,R
ĝarden,R
ĝem,R
ĝemel,R
ĝen,R
ĝendarm,R
ĝeneral,R
ĝentil,R
ĝerm,R
ĝi,Q
ĝib,R
ĝiraf,R
ĝis,Z
ĝoj,R
ĝu,R
ĝust,R
ha,X
hajl,R
hak,R
hal,R
haladz,R
halt,R
hamstr,R
hangar,R
har,R
hard,R
haring,R
harmoni,R
harp,R
haŭt,R
hav,R
haven,R
havig,R
hazard,R
He,R
he,X
heder,R
heĝ,R
hejm,R
hejt,R
hektar,R
hel,R
helikopter,R
help,R
Henri,R
Henriet,R
hepat,R
herb,R
hered,R
herez,R
herni,R
hero,R
herold,R
hezit,R
hidrarg,R
hidrogen,R
hieraŭ,X
higien,R
himn,R
hiper,R
hipokrit,R
hirud,R
hirund,R
hiskiam,R
histori,R
histrik,R
ho,X
hodiaŭ,X
hok,R
hom,R
honest,R
hono,R
honor,R
hont,R
hor,R
horde,R
horizont,R
horizontal,R
horloĝ,R
hortulan,R
hospital,R
hosti,R
hotel,R
huf,R
human,R
humid,R
humil,R
humor,R
hund,R
hungaruj,R
husar,R
huz,R
ĥaos,R
ĥemi,R
ĥimer,R
ĥoler,R
ĥolin,R
ĥor,R
i,T
ia,V
iafoje,X
ial,X
iam,X
ibis,R
iĉ,R
id,S
ide,R
ideal,R
ident,R
idili,R
idol,R
ie,U
iel,X
ies,X
ig,S
ignor,R
iĝ,S
iĥtiokol,R
il,S
ili,Q
ilumin,R
ilustr,R
imag,R
imit,R
imperi,R
impet,R
implik,R
implikaci,R
import,R
impost,R
impres,R
impuls,R
imun,R
in,S
incit,R
ind,S
indiferent,R
indign,R
indik,R
individu,R
indulg,R
industri,R
infan,R
infekt,R
infer,R
influ,R
inform,R
infuz,R
ing,S
ingven,R
inĝenier,R
